%time,field.header.seq,field.header.stamp,field.header.frame_id,field.load
1701463354294976788,402,1701463354292558925,,0.0
1701463354303271750,403,1701463354298558925,,0.0
1701463354307379683,404,1701463354303558925,,0.0
1701463354311407819,405,1701463354307558925,,0.0
1701463354315815617,406,1701463354312558925,,0.0
1701463354319683808,407,1701463354317558925,,0.0
1701463354323604692,408,1701463354321558925,,0.0
1701463354328310243,409,1701463354326558925,,0.0
1701463354335912201,410,1701463354331558925,,0.0
1701463354339948937,411,1701463354335558925,,0.0
1701463354344122372,412,1701463354341558925,,0.0
1701463354348539874,413,1701463354346558925,,0.0
1701463354352372338,414,1701463354350558925,,0.0
1701463354356433434,415,1701463354355558925,,0.0
1701463354364674227,416,1701463354359558925,,0.0
1701463354368616161,417,1701463354364558925,,0.0
1701463354372721534,418,1701463354369558925,,0.0
1701463354376897881,419,1701463354373558925,,0.0
1701463354381176416,420,1701463354378558925,,0.0
1701463354385197715,421,1701463354384558925,,0.0
1701463354393311240,422,1701463354388558925,,0.0
1701463354397478899,423,1701463354393558925,,0.0
1701463354401529138,424,1701463354398558925,,0.0
1701463354405584296,425,1701463354402558925,,0.0
1701463354409923380,426,1701463354407558925,,0.0
1701463354414107148,427,1701463354412558925,,0.0
1701463354422508234,428,1701463354416558925,,0.0
1701463354426280471,429,1701463354421558925,,0.0
1701463354430125499,430,1701463354427558925,,0.0
1701463354434013649,431,1701463354431558925,,0.0
1701463354437935985,432,1701463354436558925,,0.0
1701463354442222961,433,1701463354441558925,,0.0
1701463354450152031,434,1701463354445558925,,0.0
1701463354454341319,435,1701463354450558925,,0.0
1701463354458355725,436,1701463354454558925,,0.0
1701463354462557225,437,1701463354459558925,,0.0
1701463354466685700,438,1701463354464558925,,0.0
1701463354470654910,439,1701463354469558925,,0.0
1701463354478873605,440,1701463354474558925,,0.0
1701463354482939436,441,1701463354479558925,,0.0
1701463354487050247,442,1701463354483558925,,0.0
1701463354491198690,443,1701463354488558925,,0.0
1701463354495276555,444,1701463354493558925,,0.0
1701463354499278590,445,1701463354497558925,,0.0
1701463354507451526,446,1701463354502558925,,0.0
1701463354511812937,447,1701463354507558925,,0.0
1701463354515810214,448,1701463354512558925,,0.0
1701463354519775828,449,1701463354517558925,,0.0
1701463354523808721,450,1701463354522558925,,0.0
1701463354528079883,451,1701463354526558925,,0.0
1701463354536286228,452,1701463354531558925,,0.0
1701463354540286475,453,1701463354535558925,,0.0
1701463354544290478,454,1701463354540558925,,0.0
1701463354548553239,455,1701463354545558925,,0.0
1701463354552739713,456,1701463354549558925,,0.0
1701463354556807104,457,1701463354555558925,,0.0
1701463354565196016,458,1701463354560558925,,0.0
1701463354569043190,459,1701463354564558925,,0.0
1701463354572946141,460,1701463354569558925,,0.0
1701463354577046255,461,1701463354574558925,,0.0
1701463354581314308,462,1701463354578558925,,0.0
1701463354585244875,463,1701463354583558925,,0.0
1701463354589388339,464,1701463354588558925,,0.0
1701463354597719211,465,1701463354592558925,,0.0
1701463354601894296,466,1701463354598558925,,0.0
1701463354605842771,467,1701463354603558925,,0.0
1701463354609949339,468,1701463354607558925,,0.0
1701463354614166607,469,1701463354612558925,,0.0
1701463354618192651,470,1701463354616558925,,0.0
1701463354626404669,471,1701463354621558925,,0.0
1701463354630610988,472,1701463354626558925,,0.0
1701463354634626844,473,1701463354630558925,,0.0
1701463354638535329,474,1701463354635558925,,0.0
1701463354642709612,475,1701463354641558925,,0.0
1701463354646876155,476,1701463354645558925,,0.0
1701463354654964899,477,1701463354650558925,,0.0
1701463354659017615,478,1701463354655558925,,0.0
1701463354663258708,479,1701463354659558925,,0.0
1701463354667382274,480,1701463354664558925,,0.0
1701463354671431855,481,1701463354669558925,,0.0
1701463354675467847,482,1701463354673558925,,0.0
1701463354683769512,483,1701463354678558925,,0.0
1701463354687778369,484,1701463354684558925,,0.0
1701463354692094658,485,1701463354688558925,,0.0
1701463354696138123,486,1701463354693558925,,0.0
1701463354700714714,487,1701463354698558925,,0.0
1701463354704630964,488,1701463354702558925,,0.0
1701463354713152675,489,1701463354707558925,,0.0
1701463354716977925,490,1701463354711558925,,0.0
1701463354720891841,491,1701463354716558925,,0.0
1701463354725020683,492,1701463354721558925,,0.0
1701463354729172160,493,1701463354726558925,,0.0
1701463354733943586,494,1701463354731558925,,0.0
1701463354741502830,495,1701463354736558925,,0.0
1701463354745735901,496,1701463354740558925,,0.0
1701463354749646900,497,1701463354745558925,,0.0
1701463354754020005,498,1701463354750558925,,0.0
1701463354757855154,499,1701463354754558925,,0.0
1701463354762204168,500,1701463354759558925,,0.0
1701463354769839943,501,1701463354764558925,,0.0
1701463354773895125,502,1701463354769558925,,0.0
1701463354778010068,503,1701463354774558925,,0.0
1701463354782107229,504,1701463354779558925,,0.0
1701463354786191982,505,1701463354783558925,,0.0
1701463354790193871,506,1701463354788558925,,0.0
1701463354798409293,507,1701463354792558925,,0.0
1701463354802563906,508,1701463354797558925,,0.0
1701463354806628362,509,1701463354802558925,,0.0
1701463354810772746,510,1701463354806558925,,0.0
1701463354814847690,511,1701463354812558925,,0.0
1701463354818895042,512,1701463354817558925,,0.0
1701463354823149769,513,1701463354821558925,,0.0
1701463354831398150,514,1701463354826558925,,0.0
1701463354835292422,515,1701463354831558925,,0.0
1701463354839324445,516,1701463354835558925,,0.0
1701463354843544734,517,1701463354840558925,,0.0
1701463354847667308,518,1701463354845558925,,0.0
1701463354851793441,519,1701463354849558925,,0.0
1701463354859968329,520,1701463354855558925,,0.0
1701463354864139783,521,1701463354860558925,,0.0
1701463354868146257,522,1701463354864558925,,0.0
1701463354872101704,523,1701463354869558925,,0.0
1701463354876177986,524,1701463354874558925,,0.0
1701463354880453286,525,1701463354878558925,,0.0
1701463354888558114,526,1701463354883558925,,0.0
1701463354892668308,527,1701463354887558925,,0.0
1701463354896801198,528,1701463354892558925,,0.0
1701463354900946920,529,1701463354898558925,,0.0
1701463354904892339,530,1701463354902558925,,0.0
1701463354909024115,531,1701463354907558925,,0.0
1701463354917231039,532,1701463354912558925,,0.0
1701463354921409163,533,1701463354916558925,,0.0
1701463354925591246,534,1701463354921558925,,0.0
1701463354929475107,535,1701463354926558925,,0.0
1701463354933377121,536,1701463354930558925,,0.0
1701463354937498124,537,1701463354935558925,,0.0
1701463354945799747,538,1701463354941558925,,0.0
1701463354949910410,539,1701463354945558925,,0.0
1701463354954136995,540,1701463354950558925,,0.0
1701463354958165300,541,1701463354955558925,,0.0
1701463354962594248,542,1701463354959558925,,0.0
1701463354966683153,543,1701463354964558925,,0.0
1701463354974872139,544,1701463354968558925,,0.0
1701463354978938760,545,1701463354973558925,,0.0
1701463354983100852,546,1701463354978558925,,0.0
1701463354987388253,547,1701463354983558925,,0.0
1701463354991284120,548,1701463354988558925,,0.0
1701463354995654040,549,1701463354993558925,,0.0
1701463355003487244,550,1701463354997558925,,0.0
1701463355007666436,551,1701463355002558925,,0.0
1701463355011773018,552,1701463355007558925,,0.0
1701463355016042976,553,1701463355011558925,,0.0
1701463355020018704,554,1701463355016558925,,0.0
1701463355024071573,555,1701463355021558925,,0.0
1701463355032399000,556,1701463355026558925,,0.0
1701463355036323713,557,1701463355031558925,,0.0
1701463355040391613,558,1701463355036558925,,0.0
1701463355044601796,559,1701463355040558925,,0.0
1701463355048614314,560,1701463355045558925,,0.0
1701463355052763239,561,1701463355050558925,,0.0
1701463355056872212,562,1701463355054558925,,0.0
1701463355065039213,563,1701463355059558925,,0.0
1701463355069180799,564,1701463355063558925,,0.0
1701463355073153078,565,1701463355069558925,,0.0
1701463355077211652,566,1701463355074558925,,0.0
1701463355081648307,567,1701463355078558925,,0.0
1701463355085665304,568,1701463355083558925,,0.0
1701463355093940952,569,1701463355088558925,,0.0
1701463355097792396,570,1701463355092558925,,0.0
1701463355101947146,571,1701463355097558925,,0.0
1701463355106066235,572,1701463355102558925,,0.0
1701463355110129054,573,1701463355106558925,,0.0
1701463355114382363,574,1701463355112558925,,0.0
1701463355122186063,575,1701463355117558925,,0.0
1701463355126669336,576,1701463355121558925,,0.0
1701463355130636685,577,1701463355126558925,,0.0
1701463355135002814,578,1701463355131558925,,0.0
1701463355138778292,579,1701463355135558925,,0.0
1701463355142878416,580,1701463355140558925,,0.0
1701463355151145527,581,1701463355144558925,,0.0
1701463355155132844,582,1701463355149558925,,0.0
1701463355159146118,583,1701463355155558925,,0.0
1701463355163395126,584,1701463355159558925,,0.0
1701463355167434236,585,1701463355164558925,,0.0
1701463355171595551,586,1701463355169558925,,0.0
1701463355180149050,587,1701463355173558925,,0.0
1701463355183823371,588,1701463355178558925,,0.0
1701463355187863981,589,1701463355183558925,,0.0
1701463355192254885,590,1701463355187558925,,0.0
1701463355196191542,591,1701463355192558925,,0.0
1701463355200368230,592,1701463355198558925,,0.0
1701463355208669397,593,1701463355202558925,,0.0
1701463355212699889,594,1701463355207558925,,0.0
1701463355216888794,595,1701463355212558925,,0.0
1701463355220830668,596,1701463355216558925,,0.0
1701463355224833895,597,1701463355221558925,,0.0
1701463355228919614,598,1701463355225558925,,0.0
1701463355236994741,599,1701463355230558925,,0.0
1701463355241360723,600,1701463355235558925,,0.0
1701463355245263591,601,1701463355240558925,,0.0
1701463355249339108,602,1701463355245558925,,0.0
1701463355253747037,603,1701463355250558925,,0.0
